timestamp,user,file,action
Sept 08 14:22,I. Varma,dataset_verification_notes.docx,created
Sept 09 09:15,I. Varma,rana_fig3_rawdata.xlsx,opened
Sept 09 09:40,I. Varma,dataset_verification_notes.docx,edited
Sept 10 11:02,I. Varma,rana_fig3_rawdata.xlsx,opened
Sept 10 11:30,I. Varma,dataset_verification_notes.docx,edited
Sept 11 16:48,I. Varma,draft_report_to_dept_chair.docx,created
Sept 12 10:05,K. Rana,rana_fig3_rawdata.xlsx,opened
Sept 12 10:07,K. Rana,dataset_verification_notes.docx,access_denied
Sept 13 08:50,I. Varma,draft_report_to_dept_chair.docx,edited
Sept 14 17:35,I. Varma,draft_report_to_dept_chair.docx,edited
Sept 14 17:40,I. Varma,draft_report_to_dept_chair.docx,printed
